name,team_long_name,date,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,buildUpPlayPositioningClass,chanceCreationShooting,defencePressure,defenceAggression
Switzerland Super League,Grasshopper Club Zürich,2015-09-10 00:00:00,50,60,54,Organised,46,36,43
France Ligue 1,Toulouse FC,2010-02-22 00:00:00,35,,70,Organised,35,30,45
France Ligue 1,Toulouse FC,2011-02-22 00:00:00,65,,50,Organised,65,35,55
France Ligue 1,Toulouse FC,2012-02-22 00:00:00,49,,53,Organised,36,36,45
France Ligue 1,Toulouse FC,2013-09-20 00:00:00,49,,53,Organised,36,36,45
France Ligue 1,Toulouse FC,2014-09-19 00:00:00,49,56,53,Organised,57,36,52
France Ligue 1,Toulouse FC,2015-09-10 00:00:00,49,56,53,Organised,36,36,45
Scotland Premier League,Dundee United,2010-02-22 00:00:00,70,,70,Organised,70,60,70
Scotland Premier League,Dundee United,2011-02-22 00:00:00,68,,53,Organised,67,57,57
Scotland Premier League,Dundee United,2012-02-22 00:00:00,60,,60,Organised,35,40,38
Scotland Premier League,Dundee United,2013-09-20 00:00:00,53,,52,Organised,42,41,41
Scotland Premier League,Dundee United,2014-09-19 00:00:00,60,51,60,Organised,38,41,40
Scotland Premier League,Dundee United,2015-09-10 00:00:00,60,58,53,Organised,45,48,42
Switzerland Super League,FC Basel,2010-02-22 00:00:00,40,,45,Organised,50,60,60
Switzerland Super League,FC Basel,2011-02-22 00:00:00,46,,40,Organised,49,38,53
Switzerland Super League,FC Basel,2012-02-22 00:00:00,61,,46,Organised,54,47,58
Switzerland Super League,FC Basel,2013-09-20 00:00:00,61,,46,Organised,54,47,58
Switzerland Super League,FC Basel,2014-09-19 00:00:00,61,63,46,Organised,54,47,58
Switzerland Super League,FC Basel,2015-09-10 00:00:00,61,63,46,Organised,54,47,58
Switzerland Super League,FC Aarau,2010-02-22 00:00:00,60,,50,Organised,55,50,55
Switzerland Super League,FC Aarau,2014-09-19 00:00:00,52,48,56,Organised,64,47,44
Switzerland Super League,FC Aarau,2015-09-10 00:00:00,47,41,54,Organised,64,47,44
Scotland Premier League,Motherwell,2010-02-22 00:00:00,70,,70,Organised,65,60,70
Scotland Premier League,Motherwell,2011-02-22 00:00:00,48,,49,Organised,48,47,46
Scotland Premier League,Motherwell,2012-02-22 00:00:00,70,,55,Organised,60,38,42
Scotland Premier League,Motherwell,2013-09-20 00:00:00,67,,54,Organised,58,39,43
Scotland Premier League,Motherwell,2014-09-19 00:00:00,70,47,55,Organised,60,41,43
Scotland Premier League,Motherwell,2015-09-10 00:00:00,64,46,55,Organised,27,37,44
Scotland Premier League,Celtic,2010-02-22 00:00:00,70,,70,Organised,70,60,70
Scotland Premier League,Celtic,2011-02-22 00:00:00,54,,52,Organised,51,46,46
Scotland Premier League,Celtic,2012-02-22 00:00:00,70,,58,Organised,60,50,50
Scotland Premier League,Celtic,2013-09-20 00:00:00,50,,53,Organised,60,55,51
Scotland Premier League,Celtic,2014-09-19 00:00:00,70,52,58,Organised,62,51,54
Scotland Premier League,Celtic,2015-09-10 00:00:00,54,49,53,Organised,62,58,55
Germany 1. Bundesliga,DSC Arminia Bielefeld,2010-02-22 00:00:00,40,,65,Organised,50,45,40
Germany 1. Bundesliga,DSC Arminia Bielefeld,2011-02-22 00:00:00,46,,58,Organised,42,38,48
Germany 1. Bundesliga,DSC Arminia Bielefeld,2014-09-19 00:00:00,62,49,55,Organised,52,36,54
Germany 1. Bundesliga,VfL Bochum,2010-02-22 00:00:00,50,,65,Organised,50,40,60
Germany 1. Bundesliga,VfL Bochum,2011-02-22 00:00:00,55,,56,Organised,52,48,60
Germany 1. Bundesliga,VfL Bochum,2012-02-22 00:00:00,40,,48,Organised,37,34,53
Germany 1. Bundesliga,VfL Bochum,2013-09-20 00:00:00,40,,48,Organised,37,40,53
Germany 1. Bundesliga,VfL Bochum,2014-09-19 00:00:00,38,54,48,Organised,36,34,53
Germany 1. Bundesliga,VfL Bochum,2015-09-10 00:00:00,69,38,57,Organised,66,58,47
Spain LIGA BBVA,RC Celta de Vigo,2010-02-22 00:00:00,35,,30,Organised,70,35,30
Spain LIGA BBVA,RC Celta de Vigo,2011-02-22 00:00:00,43,,44,Organised,60,40,41
Spain LIGA BBVA,RC Celta de Vigo,2012-02-22 00:00:00,53,,62,Organised,52,42,52
Spain LIGA BBVA,RC Celta de Vigo,2013-09-20 00:00:00,53,,62,Organised,52,42,52
Spain LIGA BBVA,RC Celta de Vigo,2014-09-19 00:00:00,53,54,62,Organised,52,42,52
Spain LIGA BBVA,RC Celta de Vigo,2015-09-10 00:00:00,55,59,38,Organised,50,55,55
Netherlands Eredivisie,FC Utrecht,2010-02-22 00:00:00,45,,45,Organised,67,30,30
Netherlands Eredivisie,FC Utrecht,2011-02-22 00:00:00,66,,45,Organised,72,34,57
Netherlands Eredivisie,FC Utrecht,2012-02-22 00:00:00,47,,52,Organised,52,45,49
Netherlands Eredivisie,FC Utrecht,2013-09-20 00:00:00,47,,52,Organised,60,45,49
Netherlands Eredivisie,FC Utrecht,2014-09-19 00:00:00,50,50,52,Organised,52,45,49
Netherlands Eredivisie,FC Utrecht,2015-09-10 00:00:00,50,39,54,Organised,28,54,58
Spain LIGA BBVA,Atlético Madrid,2010-02-22 00:00:00,64,,30,Free Form,70,70,34
Spain LIGA BBVA,Atlético Madrid,2011-02-22 00:00:00,57,,54,Organised,79,58,48
Spain LIGA BBVA,Atlético Madrid,2012-02-22 00:00:00,47,,51,Organised,54,52,37
Spain LIGA BBVA,Atlético Madrid,2013-09-20 00:00:00,47,,51,Organised,54,52,37
Spain LIGA BBVA,Atlético Madrid,2014-09-19 00:00:00,47,52,51,Organised,54,52,37
Spain LIGA BBVA,Atlético Madrid,2015-09-10 00:00:00,57,50,50,Organised,49,49,42
Germany 1. Bundesliga,1. FSV Mainz 05,2010-02-22 00:00:00,45,,40,Organised,70,50,70
Germany 1. Bundesliga,1. FSV Mainz 05,2011-02-22 00:00:00,65,,50,Organised,53,57,53
Germany 1. Bundesliga,1. FSV Mainz 05,2012-02-22 00:00:00,68,,57,Organised,60,52,65
Germany 1. Bundesliga,1. FSV Mainz 05,2013-09-20 00:00:00,66,,52,Organised,56,48,65
Germany 1. Bundesliga,1. FSV Mainz 05,2014-09-19 00:00:00,67,54,57,Organised,44,53,60
Germany 1. Bundesliga,1. FSV Mainz 05,2015-09-10 00:00:00,60,43,53,Organised,44,55,62
Germany 1. Bundesliga,Hannover 96,2010-02-22 00:00:00,55,,70,Organised,65,70,70
Germany 1. Bundesliga,Hannover 96,2011-02-22 00:00:00,55,,56,Organised,53,39,37
Germany 1. Bundesliga,Hannover 96,2012-02-22 00:00:00,65,,58,Organised,64,39,45
Germany 1. Bundesliga,Hannover 96,2013-09-20 00:00:00,78,,58,Organised,41,39,48
Germany 1. Bundesliga,Hannover 96,2014-09-19 00:00:00,48,55,38,Organised,40,37,48
Germany 1. Bundesliga,Hannover 96,2015-09-10 00:00:00,48,55,41,Organised,40,35,50
Italy Serie A,Frosinone,2010-02-22 00:00:00,30,,30,Organised,65,30,30
Italy Serie A,Frosinone,2011-02-22 00:00:00,70,,48,Organised,65,61,67
Italy Serie A,Frosinone,2015-09-10 00:00:00,63,48,46,Organised,50,55,57
Italy Serie A,Lecce,2010-02-22 00:00:00,40,,30,Organised,70,30,70
Italy Serie A,Lecce,2011-02-22 00:00:00,50,,50,Organised,52,30,55
Italy Serie A,Lecce,2012-02-22 00:00:00,45,,50,Organised,35,35,55
Italy Serie A,Juventus,2010-02-22 00:00:00,45,,35,Free Form,70,50,35
Italy Serie A,Juventus,2011-02-22 00:00:00,65,,50,Organised,50,55,55
Italy Serie A,Juventus,2012-02-22 00:00:00,50,,35,Organised,50,35,55
Italy Serie A,Juventus,2013-09-20 00:00:00,39,,33,Organised,72,66,67
Italy Serie A,Juventus,2014-09-19 00:00:00,26,47,24,Organised,72,23,67
Italy Serie A,Juventus,2015-09-10 00:00:00,50,35,20,Organised,80,35,65
Italy Serie A,Sampdoria,2010-02-22 00:00:00,60,,30,Organised,65,50,30
Italy Serie A,Sampdoria,2011-02-22 00:00:00,50,,65,Organised,50,35,45
Italy Serie A,Sampdoria,2012-02-22 00:00:00,35,,35,Organised,35,45,45
Italy Serie A,Sampdoria,2013-09-20 00:00:00,36,,38,Organised,33,50,51
Italy Serie A,Sampdoria,2014-09-19 00:00:00,36,56,38,Organised,62,54,57
Italy Serie A,Sampdoria,2015-09-10 00:00:00,36,56,38,Organised,29,50,51
Italy Serie A,Cesena,2010-02-22 00:00:00,30,,30,Organised,65,50,30
Italy Serie A,Cesena,2011-02-22 00:00:00,50,,50,Organised,50,35,55
Italy Serie A,Cesena,2012-02-22 00:00:00,60,,40,Organised,65,35,45
Italy Serie A,Cesena,2013-09-20 00:00:00,73,,44,Organised,73,39,49
Italy Serie A,Cesena,2014-09-19 00:00:00,73,29,41,Organised,73,39,49
Italy Serie A,Cesena,2015-09-10 00:00:00,66,31,41,Organised,66,39,49
England Premier League,Fulham,2010-02-22 00:00:00,60,,70,Organised,50,40,35
England Premier League,Fulham,2011-02-22 00:00:00,50,,55,Organised,40,45,35
England Premier League,Fulham,2012-02-22 00:00:00,48,,45,Organised,54,38,38
England Premier League,Fulham,2013-09-20 00:00:00,52,,49,Organised,59,39,39
England Premier League,Fulham,2014-09-19 00:00:00,52,34,56,Organised,54,29,28
England Premier League,Fulham,2015-09-10 00:00:00,52,34,48,Organised,59,29,30
Italy Serie A,Pescara,2011-02-22 00:00:00,50,,60,Organised,35,35,60
Italy Serie A,Pescara,2012-02-22 00:00:00,65,,65,Organised,65,45,45
Italy Serie A,Pescara,2013-09-20 00:00:00,55,,40,Organised,36,44,48
Italy Serie A,Pescara,2014-09-19 00:00:00,64,52,36,Organised,54,26,46
Italy Serie A,Pescara,2015-09-10 00:00:00,64,31,53,Organised,41,39,46
Italy Serie A,Hellas Verona,2012-02-22 00:00:00,50,,50,Organised,50,45,55
Italy Serie A,Hellas Verona,2013-09-20 00:00:00,58,,63,Organised,61,47,59
Italy Serie A,Hellas Verona,2014-09-19 00:00:00,63,46,48,Organised,55,31,47
Italy Serie A,Hellas Verona,2015-09-10 00:00:00,57,29,38,Organised,55,47,59
Italy Serie A,Napoli,2010-02-22 00:00:00,70,,30,Free Form,70,50,70
Italy Serie A,Napoli,2011-02-22 00:00:00,50,,35,Free Form,50,50,70
Italy Serie A,Napoli,2012-02-22 00:00:00,60,,50,Organised,50,45,55
Italy Serie A,Napoli,2013-09-20 00:00:00,68,,52,Organised,53,44,57
Italy Serie A,Napoli,2014-09-19 00:00:00,72,74,34,Organised,73,61,59
Italy Serie A,Napoli,2015-09-10 00:00:00,53,70,37,Organised,67,47,57
France Ligue 1,FC Sochaux-Montbéliard,2010-02-22 00:00:00,66,,70,Organised,50,65,30
France Ligue 1,FC Sochaux-Montbéliard,2011-02-22 00:00:00,50,,50,Organised,35,45,55
France Ligue 1,FC Sochaux-Montbéliard,2012-02-22 00:00:00,63,,39,Organised,49,54,43
France Ligue 1,FC Sochaux-Montbéliard,2013-09-20 00:00:00,63,,39,Organised,49,54,43
France Ligue 1,FC Sochaux-Montbéliard,2014-09-19 00:00:00,63,62,39,Organised,49,54,43
France Ligue 1,FC Sochaux-Montbéliard,2015-09-10 00:00:00,63,62,39,Organised,49,54,43
France Ligue 1,Valenciennes FC,2010-02-22 00:00:00,60,,70,Organised,60,30,55
France Ligue 1,Valenciennes FC,2011-02-22 00:00:00,65,,50,Organised,50,45,45
France Ligue 1,Valenciennes FC,2012-02-22 00:00:00,49,,50,Organised,61,43,57
France Ligue 1,Valenciennes FC,2013-09-20 00:00:00,49,,50,Organised,61,43,57
France Ligue 1,Valenciennes FC,2014-09-19 00:00:00,49,59,52,Organised,56,47,51
France Ligue 1,Valenciennes FC,2015-09-10 00:00:00,49,59,52,Organised,56,47,51
Spain LIGA BBVA,Real Sporting de Gijón,2010-02-22 00:00:00,70,,55,Organised,70,70,70
Spain LIGA BBVA,Real Sporting de Gijón,2011-02-22 00:00:00,68,,53,Organised,65,58,51
Spain LIGA BBVA,Real Sporting de Gijón,2012-02-22 00:00:00,51,,43,Organised,44,36,60
Spain LIGA BBVA,Real Sporting de Gijón,2013-09-20 00:00:00,55,,43,Organised,44,36,60
Spain LIGA BBVA,Real Sporting de Gijón,2014-09-19 00:00:00,55,48,43,Organised,44,36,60
Spain LIGA BBVA,Real Sporting de Gijón,2015-09-10 00:00:00,55,48,50,Organised,38,45,54
Spain LIGA BBVA,Xerez Club Deportivo,2010-02-22 00:00:00,30,,30,Organised,70,45,50
Spain LIGA BBVA,Xerez Club Deportivo,2011-02-22 00:00:00,40,,58,Organised,49,46,52
Spain LIGA BBVA,Xerez Club Deportivo,2012-02-22 00:00:00,60,,44,Organised,41,49,54
Spain LIGA BBVA,Xerez Club Deportivo,2013-09-20 00:00:00,60,,44,Organised,41,49,54
Spain LIGA BBVA,CD Tenerife,2010-02-22 00:00:00,30,,30,Organised,65,50,30
Spain LIGA BBVA,CD Tenerife,2011-02-22 00:00:00,56,,51,Organised,60,57,50
Spain LIGA BBVA,CD Tenerife,2014-09-19 00:00:00,56,50,57,Organised,54,52,50
Spain LIGA BBVA,CD Tenerife,2015-09-10 00:00:00,56,50,57,Organised,54,52,50
Spain LIGA BBVA,UD Almería,2010-02-22 00:00:00,65,,45,Organised,70,70,65
Spain LIGA BBVA,UD Almería,2011-02-22 00:00:00,55,,53,Organised,69,58,68
Spain LIGA BBVA,UD Almería,2012-02-22 00:00:00,42,,70,Organised,40,37,53
Spain LIGA BBVA,UD Almería,2013-09-20 00:00:00,46,,65,Organised,40,37,53
Spain LIGA BBVA,UD Almería,2014-09-19 00:00:00,46,41,65,Organised,40,37,53
Spain LIGA BBVA,UD Almería,2015-09-10 00:00:00,46,41,65,Organised,40,37,53
Spain LIGA BBVA,Málaga CF,2010-02-22 00:00:00,60,,55,Organised,70,45,65
Spain LIGA BBVA,Málaga CF,2011-02-22 00:00:00,58,,54,Organised,61,45,47
Spain LIGA BBVA,Málaga CF,2012-02-22 00:00:00,41,,36,Organised,50,64,58
Spain LIGA BBVA,Málaga CF,2013-09-20 00:00:00,45,,36,Organised,50,64,58
Spain LIGA BBVA,Málaga CF,2014-09-19 00:00:00,45,42,36,Organised,50,64,58
Spain LIGA BBVA,Málaga CF,2015-09-10 00:00:00,42,51,36,Organised,50,47,37
Scotland Premier League,Heart of Midlothian,2010-02-22 00:00:00,70,,70,Organised,70,60,70
Scotland Premier League,Heart of Midlothian,2011-02-22 00:00:00,66,,53,Organised,66,56,68
Scotland Premier League,Heart of Midlothian,2012-02-22 00:00:00,55,,62,Organised,60,50,52
Scotland Premier League,Heart of Midlothian,2013-09-20 00:00:00,52,,53,Organised,64,52,53
Scotland Premier League,Heart of Midlothian,2014-09-19 00:00:00,55,51,62,Organised,60,49,52
Italy Serie A,Brescia,2010-02-22 00:00:00,30,,30,Organised,70,45,30
Italy Serie A,Brescia,2011-02-22 00:00:00,30,,50,Organised,65,45,45
Italy Serie A,Brescia,2012-02-22 00:00:00,35,,35,Organised,65,35,45
Italy Serie A,Brescia,2013-09-20 00:00:00,42,,43,Organised,75,41,52
Italy Serie A,Brescia,2014-09-19 00:00:00,42,56,27,Organised,75,41,52
Italy Serie A,Brescia,2015-09-10 00:00:00,42,56,43,Organised,69,41,52
Italy Serie A,Bologna,2010-02-22 00:00:00,65,,55,Organised,65,55,30
Italy Serie A,Bologna,2011-02-22 00:00:00,65,,35,Organised,50,30,50
Italy Serie A,Bologna,2012-02-22 00:00:00,40,,50,Organised,50,35,45
Italy Serie A,Bologna,2013-09-20 00:00:00,63,,48,Organised,63,43,43
Italy Serie A,Bologna,2014-09-19 00:00:00,63,53,48,Organised,52,28,54
Italy Serie A,Bologna,2015-09-10 00:00:00,63,53,48,Organised,52,30,54
France Ligue 1,Grenoble Foot 38,2010-02-22 00:00:00,70,,70,Organised,70,70,55
France Ligue 1,Grenoble Foot 38,2011-02-22 00:00:00,50,,50,Organised,50,45,45
France Ligue 1,AS Saint-Étienne,2010-02-22 00:00:00,65,,65,Organised,60,30,30
France Ligue 1,AS Saint-Étienne,2011-02-22 00:00:00,65,,35,Organised,65,35,45
France Ligue 1,AS Saint-Étienne,2012-02-22 00:00:00,49,,52,Organised,52,35,44
France Ligue 1,AS Saint-Étienne,2013-09-20 00:00:00,49,,52,Organised,52,35,44
France Ligue 1,AS Saint-Étienne,2014-09-19 00:00:00,58,55,52,Organised,52,35,44
France Ligue 1,AS Saint-Étienne,2015-09-10 00:00:00,58,55,52,Organised,52,48,51
France Ligue 1,Stade Rennais FC,2010-02-22 00:00:00,50,,45,Organised,60,70,70
France Ligue 1,Stade Rennais FC,2011-02-22 00:00:00,65,,35,Organised,65,55,45
France Ligue 1,Stade Rennais FC,2012-02-22 00:00:00,64,,41,Organised,64,46,44
France Ligue 1,Stade Rennais FC,2013-09-20 00:00:00,64,,41,Organised,64,46,44
France Ligue 1,Stade Rennais FC,2014-09-19 00:00:00,64,62,41,Organised,64,46,44
France Ligue 1,Stade Rennais FC,2015-09-10 00:00:00,64,62,41,Organised,64,46,44
England Premier League,Norwich City,2010-02-22 00:00:00,65,,70,Organised,55,60,70
England Premier League,Norwich City,2011-02-22 00:00:00,49,,52,Organised,66,34,54
England Premier League,Norwich City,2012-02-22 00:00:00,63,,61,Organised,62,40,50
England Premier League,Norwich City,2013-09-20 00:00:00,70,,70,Organised,48,40,43
England Premier League,Norwich City,2014-09-19 00:00:00,45,28,64,Organised,42,40,43
England Premier League,Norwich City,2015-09-10 00:00:00,45,38,55,Organised,47,38,39
France Ligue 1,Paris Saint-Germain,2010-02-22 00:00:00,50,,65,Organised,55,70,70
France Ligue 1,Paris Saint-Germain,2011-02-22 00:00:00,35,,35,Organised,50,45,55
France Ligue 1,Paris Saint-Germain,2012-02-22 00:00:00,49,,41,Organised,60,49,46
France Ligue 1,Paris Saint-Germain,2013-09-20 00:00:00,49,,41,Organised,60,49,46
France Ligue 1,Paris Saint-Germain,2014-09-19 00:00:00,49,70,55,Organised,68,57,53
France Ligue 1,Paris Saint-Germain,2015-09-10 00:00:00,49,47,34,Organised,35,57,53
Netherlands Eredivisie,VVV-Venlo,2010-02-22 00:00:00,50,,50,Organised,50,50,50
Netherlands Eredivisie,VVV-Venlo,2011-02-22 00:00:00,50,,42,Organised,50,38,47
Netherlands Eredivisie,VVV-Venlo,2012-02-22 00:00:00,41,,52,Organised,47,46,55
Netherlands Eredivisie,VVV-Venlo,2013-09-20 00:00:00,41,,52,Organised,52,29,42
France Ligue 1,Stade de Reims,2011-02-22 00:00:00,35,,50,Organised,50,45,45
France Ligue 1,Stade de Reims,2012-02-22 00:00:00,61,,48,Organised,50,33,44
France Ligue 1,Stade de Reims,2013-09-20 00:00:00,61,,48,Organised,50,33,44
France Ligue 1,Stade de Reims,2014-09-19 00:00:00,48,58,48,Organised,50,33,44
France Ligue 1,Stade de Reims,2015-09-10 00:00:00,48,37,49,Organised,58,33,44
France Ligue 1,Dijon FCO,2010-02-22 00:00:00,55,,40,Organised,55,30,60
France Ligue 1,Dijon FCO,2011-02-22 00:00:00,65,,50,Organised,50,35,45
France Ligue 1,Dijon FCO,2012-02-22 00:00:00,51,,49,Organised,52,45,46
France Ligue 1,Dijon FCO,2013-09-20 00:00:00,51,,49,Organised,52,45,46
France Ligue 1,Dijon FCO,2014-09-19 00:00:00,51,54,49,Organised,52,45,46
France Ligue 1,Dijon FCO,2015-09-10 00:00:00,51,54,49,Organised,52,45,46
France Ligue 1,OGC Nice,2010-02-22 00:00:00,70,,70,Organised,65,70,70
France Ligue 1,OGC Nice,2011-02-22 00:00:00,50,,50,Organised,65,45,45
France Ligue 1,OGC Nice,2012-02-22 00:00:00,48,,66,Organised,34,26,47
France Ligue 1,OGC Nice,2013-09-20 00:00:00,48,,66,Organised,34,56,47
France Ligue 1,OGC Nice,2014-09-19 00:00:00,48,61,66,Organised,34,56,47
France Ligue 1,OGC Nice,2015-09-10 00:00:00,48,55,53,Organised,38,57,47
France Ligue 1,FC Nantes,2010-02-22 00:00:00,55,,35,Organised,35,30,45
France Ligue 1,FC Nantes,2011-02-22 00:00:00,50,,50,Organised,35,45,55
France Ligue 1,FC Nantes,2012-02-22 00:00:00,46,,51,Organised,49,47,43
France Ligue 1,FC Nantes,2013-09-20 00:00:00,46,,51,Organised,49,47,51
France Ligue 1,FC Nantes,2014-09-19 00:00:00,63,53,48,Organised,49,47,51
France Ligue 1,FC Nantes,2015-09-10 00:00:00,63,70,56,Organised,46,39,41
France Ligue 1,AS Monaco,2010-02-22 00:00:00,35,,55,Organised,45,70,65
France Ligue 1,AS Monaco,2011-02-22 00:00:00,65,,50,Organised,50,35,55
France Ligue 1,AS Monaco,2012-02-22 00:00:00,52,,48,Organised,37,35,34
France Ligue 1,AS Monaco,2013-09-20 00:00:00,52,,48,Organised,37,35,34
France Ligue 1,AS Monaco,2014-09-19 00:00:00,52,68,48,Organised,37,35,34
France Ligue 1,AS Monaco,2015-09-10 00:00:00,52,42,43,Organised,23,56,62
France Ligue 1,Girondins de Bordeaux,2010-02-22 00:00:00,70,,35,Organised,70,55,70
France Ligue 1,Girondins de Bordeaux,2011-02-22 00:00:00,50,,35,Organised,65,55,45
France Ligue 1,Girondins de Bordeaux,2012-02-22 00:00:00,49,,37,Organised,51,44,46
France Ligue 1,Girondins de Bordeaux,2013-09-20 00:00:00,49,,37,Organised,51,44,46
France Ligue 1,Girondins de Bordeaux,2014-09-19 00:00:00,38,49,36,Organised,51,37,33
France Ligue 1,Girondins de Bordeaux,2015-09-10 00:00:00,51,40,48,Organised,44,57,52
England Premier League,Crystal Palace,2010-02-22 00:00:00,70,,70,Organised,65,65,60
England Premier League,Crystal Palace,2011-02-22 00:00:00,53,,54,Organised,52,48,43
England Premier League,Crystal Palace,2012-02-22 00:00:00,43,,46,Organised,47,44,27
England Premier League,Crystal Palace,2013-09-20 00:00:00,52,,47,Organised,47,36,33
England Premier League,Crystal Palace,2014-09-19 00:00:00,61,36,68,Organised,52,36,34
England Premier League,Crystal Palace,2015-09-10 00:00:00,61,45,67,Organised,50,36,34
England Premier League,Arsenal,2010-02-22 00:00:00,66,,30,Free Form,35,30,40
England Premier League,Arsenal,2011-02-22 00:00:00,75,,40,Free Form,65,50,40
England Premier League,Arsenal,2012-02-22 00:00:00,25,,32,Organised,30,57,57
England Premier League,Arsenal,2013-09-20 00:00:00,30,,29,Organised,39,64,54
England Premier League,Arsenal,2014-09-19 00:00:00,59,51,26,Organised,64,51,44
England Premier League,Arsenal,2015-09-10 00:00:00,59,51,30,Organised,46,51,44
Switzerland Super League,FC Vaduz,2015-09-10 00:00:00,53,32,56,Organised,46,42,33
Germany 1. Bundesliga,FC Bayern Munich,2010-02-22 00:00:00,65,,40,Free Form,70,70,40
Germany 1. Bundesliga,FC Bayern Munich,2011-02-22 00:00:00,42,,40,Organised,72,39,52
Germany 1. Bundesliga,FC Bayern Munich,2012-02-22 00:00:00,47,,40,Organised,55,49,35
Germany 1. Bundesliga,FC Bayern Munich,2013-09-20 00:00:00,56,,41,Organised,39,52,54
Germany 1. Bundesliga,FC Bayern Munich,2014-09-19 00:00:00,37,34,22,Free Form,40,61,59
Germany 1. Bundesliga,FC Bayern Munich,2015-09-10 00:00:00,45,24,28,Free Form,22,72,53
England Premier League,Watford,2010-02-22 00:00:00,70,,70,Organised,65,70,70
England Premier League,Watford,2011-02-22 00:00:00,64,,53,Organised,48,44,47
England Premier League,Watford,2012-02-22 00:00:00,66,,66,Organised,60,48,50
England Premier League,Watford,2013-09-20 00:00:00,67,,45,Organised,53,38,52
England Premier League,Watford,2014-09-19 00:00:00,61,43,56,Organised,55,38,52
England Premier League,Watford,2015-09-10 00:00:00,61,32,52,Organised,45,38,52
Germany 1. Bundesliga,Eintracht Frankfurt,2010-02-22 00:00:00,60,,35,Organised,60,65,30
Germany 1. Bundesliga,Eintracht Frankfurt,2011-02-22 00:00:00,52,,43,Organised,41,48,50
Germany 1. Bundesliga,Eintracht Frankfurt,2012-02-22 00:00:00,38,,34,Organised,48,46,45
Germany 1. Bundesliga,Eintracht Frankfurt,2013-09-20 00:00:00,41,,34,Organised,48,46,45
Germany 1. Bundesliga,Eintracht Frankfurt,2014-09-19 00:00:00,63,48,42,Organised,52,43,46
Germany 1. Bundesliga,Eintracht Frankfurt,2015-09-10 00:00:00,51,41,38,Organised,40,48,42
Portugal Liga ZON Sagres,Naval 1° de Maio,2010-02-22 00:00:00,30,,30,Organised,70,30,30
Portugal Liga ZON Sagres,Naval 1° de Maio,2011-02-22 00:00:00,50,,65,Organised,50,45,41
Portugal Liga ZON Sagres,CF Os Belenenses,2010-02-22 00:00:00,30,,30,Organised,60,30,30
Portugal Liga ZON Sagres,CF Os Belenenses,2014-09-19 00:00:00,52,53,52,Organised,48,38,48
Portugal Liga ZON Sagres,CF Os Belenenses,2015-09-10 00:00:00,51,53,52,Organised,48,38,48
Italy Serie A,Torino,2010-02-22 00:00:00,45,,35,Organised,70,45,35
Italy Serie A,Torino,2011-02-22 00:00:00,45,,35,Organised,35,45,45
Italy Serie A,Torino,2012-02-22 00:00:00,50,,50,Organised,50,35,45
Italy Serie A,Torino,2013-09-20 00:00:00,71,,36,Organised,53,39,46
Italy Serie A,Torino,2014-09-19 00:00:00,76,69,64,Organised,53,39,34
Italy Serie A,Torino,2015-09-10 00:00:00,69,69,36,Organised,53,39,46
Netherlands Eredivisie,Roda JC Kerkrade,2010-02-22 00:00:00,30,,35,Organised,70,30,30
Netherlands Eredivisie,Roda JC Kerkrade,2011-02-22 00:00:00,65,,51,Organised,53,48,57
Netherlands Eredivisie,Roda JC Kerkrade,2012-02-22 00:00:00,55,,52,Organised,54,47,44
Netherlands Eredivisie,Roda JC Kerkrade,2013-09-20 00:00:00,42,,44,Organised,38,47,44
Netherlands Eredivisie,Roda JC Kerkrade,2014-09-19 00:00:00,43,46,44,Organised,42,39,37
Scotland Premier League,St. Mirren,2010-02-22 00:00:00,70,,70,Organised,70,60,70
Scotland Premier League,St. Mirren,2011-02-22 00:00:00,48,,48,Organised,48,43,44
Scotland Premier League,St. Mirren,2012-02-22 00:00:00,60,,75,Organised,60,50,48
Scotland Premier League,St. Mirren,2013-09-20 00:00:00,42,,43,Organised,60,53,49
Scotland Premier League,St. Mirren,2014-09-19 00:00:00,58,50,70,Organised,61,50,49
Scotland Premier League,St. Mirren,2015-09-10 00:00:00,38,53,33,Organised,53,60,58
England Premier League,Reading,2010-02-22 00:00:00,70,,70,Organised,70,70,60
England Premier League,Reading,2011-02-22 00:00:00,49,,36,Organised,55,49,31
England Premier League,Reading,2012-02-22 00:00:00,49,,49,Organised,56,49,51
England Premier League,Reading,2013-09-20 00:00:00,49,,61,Organised,37,39,44
England Premier League,Reading,2014-09-19 00:00:00,44,26,72,Organised,37,58,52
England Premier League,Reading,2015-09-10 00:00:00,44,36,64,Organised,42,51,47
Netherlands Eredivisie,Heracles Almelo,2010-02-22 00:00:00,30,,45,Organised,59,30,30
Netherlands Eredivisie,Heracles Almelo,2011-02-22 00:00:00,69,,45,Organised,45,36,66
Netherlands Eredivisie,Heracles Almelo,2012-02-22 00:00:00,43,,27,Organised,60,33,43
Netherlands Eredivisie,Heracles Almelo,2013-09-20 00:00:00,39,,32,Organised,66,47,43
Netherlands Eredivisie,Heracles Almelo,2014-09-19 00:00:00,46,55,32,Organised,59,60,62
Netherlands Eredivisie,Heracles Almelo,2015-09-10 00:00:00,50,36,61,Organised,59,60,62
Germany 1. Bundesliga,Hamburger SV,2010-02-22 00:00:00,70,,60,Organised,70,70,45
